president,startdate,enddate,,approve,disapprove,unsure
Barack Obama,3/17/14,3/19/14,,45,49,6
Barack Obama,3/16/14,3/18/14,,45,49,6
Barack Obama,3/15/14,3/17/14,,41,52,7
Barack Obama,3/14/14,3/16/14,,40,55,5
Barack Obama,3/13/14,3/15/14,,40,54,6
Barack Obama,3/12/14,3/14/14,,39,55,6
Barack Obama,3/11/14,3/13/14,,40,54,6
Barack Obama,3/10/14,3/12/14,,41,54,5
Barack Obama,3/9/14,3/11/14,,43,52,5
Barack Obama,3/8/14,3/10/14,,45,51,4
Barack Obama,3/7/14,3/9/14,,45,51,4
Barack Obama,3/5/14,3/8/14,,45,51,4
Barack Obama,3/4/14,3/6/14,,42,55,3
Barack Obama,3/3/14,3/5/14,,41,55,4
Barack Obama,3/2/14,3/4/14,,42,54,4
Barack Obama,3/1/14,3/3/14,,43,52,5
Barack Obama,2/28/14,3/2/14,,42,54,4
Barack Obama,2/27/14,3/1/14,,40,56,4
Barack Obama,2/26/14,2/28/14,,40,56,4
Barack Obama,2/25/14,2/27/14,,42,54,6
Barack Obama,2/24/14,2/26/14,,42,54,4
Barack Obama,2/23/14,2/25/14,,43,54,3
Barack Obama,2/22/14,2/24/14,,44,53,3
Barack Obama,2/21/14,2/23/14,,44,52,4
Barack Obama,2/20/14,2/22/14,,44,51,5
Barack Obama,2/19/14,2/21/14,,44,51,5
Barack Obama,2/18/14,2/20/14,,45,50,5
Barack Obama,2/17/14,2/19/14,,46,50,4
Barack Obama,2/16/14,2/18/14,,44,50,6
Barack Obama,2/15/14,2/17/14,,42,52,6
Barack Obama,2/14/14,2/16/14,,41,53,6
Barack Obama,2/13/14,2/15/14,,41,53,6
Barack Obama,2/12/14,2/14/14,,40,52,8
Barack Obama,2/11/14,2/13/14,,40,52,8
Barack Obama,2/10/14,2/12/14,,39,51,10
Barack Obama,2/9/14,2/11/14,,40,51,9
Barack Obama,2/8/14,2/10/14,,42,50,8
Barack Obama,2/7/14,2/9/14,,42,51,7
Barack Obama,2/6/14,2/8/14,,41,51,8
Barack Obama,2/5/14,2/7/14,,39,52,9
Barack Obama,2/3/14,2/6/14,,40,51,9
Barack Obama,2/1/14,2/5/14,,41,50,9
Barack Obama,1/31/14,2/3/14,,40,51,9
Barack Obama,1/30/14,2/1/14,,41,51,8
Barack Obama,1/29/14,1/31/14,,42,51,7
Barack Obama,1/28/14,1/30/14,,43,50,7
Barack Obama,1/27/14,1/29/14,,42,49,9
Barack Obama,1/26/14,1/28/14,,41,50,9
Barack Obama,1/25/14,1/27/14,,41,50,9
Barack Obama,1/24/14,1/26/14,,41,52,7
Barack Obama,1/23/14,1/25/14,,42,51,7
Barack Obama,1/22/14,1/24/14,,43,50,7
Barack Obama,1/21/14,1/23/14,,43,49,8
Barack Obama,1/20/14,1/22/14,,42,49,9
Barack Obama,1/19/14,1/21/14,,42,49,9
Barack Obama,1/18/14,1/20/14,,41,50,9
Barack Obama,1/17/14,1/19/14,,40,51,9
Barack Obama,1/16/14,1/18/14,,40,52,8
Barack Obama,1/15/14,1/17/14,,39,53,8
Barack Obama,1/14/14,1/16/14,,39,53,8
Barack Obama,1/13/14,1/15/14,,39,53,8
Barack Obama,1/12/14,1/14/14,,40,52,8
Barack Obama,1/11/14,1/13/14,,40,53,7
Barack Obama,1/10/14,1/12/14,,42,51,7
Barack Obama,1/9/14,1/11/14,,43,51,6
Barack Obama,1/8/14,1/10/14,,42,50,8
Barack Obama,1/7/14,1/9/14,,42,50,8
Barack Obama,1/6/14,1/8/14,,41,51,8
Barack Obama,1/5/14,1/7/14,,41,52,7
Barack Obama,1/4/14,1/6/14,,41,53,6
Barack Obama,1/3/14,1/5/14,,41,53,6
Barack Obama,1/2/14,1/4/14,,40,53,7
Barack Obama,12/29/13,1/3/14,,40,53,7
Barack Obama,12/28/13,1/2/14,,42,50,8
Barack Obama,12/27/13,12/29/13,,44,49,7
Barack Obama,12/26/13,12/28/13,,44,49,7
Barack Obama,12/23/13,12/27/13,,42,52,6
Barack Obama,12/22/13,12/26/13,,40,53,7
Barack Obama,12/21/13,12/23/13,,39,54,7
Barack Obama,12/20/13,12/22/13,,40,53,7
Barack Obama,12/19/13,12/21/13,,40,53,7
Barack Obama,12/18/13,12/20/13,,40,52,8
Barack Obama,12/17/13,12/19/13,,40,52,8
Barack Obama,12/16/13,12/18/13,,41,51,8
Barack Obama,12/15/13,12/17/13,,42,50,8
Barack Obama,12/14/13,12/16/13,,41,50,9
Barack Obama,12/13/13,12/15/13,,41,50,9
Barack Obama,12/12/13,12/14/13,,41,51,8
Barack Obama,12/11/13,12/13/13,,41,50,9
Barack Obama,12/10/13,12/12/13,,42,49,9
Barack Obama,12/9/13,12/11/13,,42,49,9
Barack Obama,12/8/13,12/10/13,,41,49,10
